Time(s)	I(VDD)	V(107)
1.59e-08	-7.43428e-05	0.00011553
1.6e-08	-7.20485e-05	0.000112631
1.61e-08	-6.97457e-05	0.000109806
1.62e-08	-6.75873e-05	0.000107065
1.63e-08	-6.54169e-05	0.000104394
1.64e-08	-6.33876e-05	0.000101802
1.65e-08	-6.13429e-05	9.92746e-05
1.66e-08	-5.94359e-05	9.68213e-05
1.67e-08	-5.75102e-05	9.44292e-05
1.68e-08	-5.57191e-05	9.21067e-05
1.69e-08	-5.39062e-05	8.9841e-05
1.7e-08	-5.22248e-05	8.76409e-05
1.71e-08	-5.05186e-05	8.54938e-05
1.72e-08	-4.89408e-05	8.34084e-05
1.73e-08	-4.73354e-05	8.13722e-05
1.74e-08	-4.58556e-05	7.93942e-05
1.75e-08	-4.43455e-05	7.74619e-05
1.76e-08	-4.29582e-05	7.55843e-05
1.77e-08	-4.15379e-05	7.37492e-05
1.78e-08	-4.02379e-05	7.19656e-05
1.79e-08	-3.89025e-05	7.02214e-05
1.8e-08	-3.76848e-05	6.85257e-05
1.81e-08	-3.64292e-05	6.68664e-05
1.82e-08	-3.52891e-05	6.52529e-05
1.83e-08	-3.41088e-05	6.3673e-05
1.84e-08	-3.30417e-05	6.21362e-05
1.85e-08	-3.19324e-05	6.06306e-05
1.86e-08	-3.09341e-05	5.91655e-05
1.87e-08	-2.98914e-05	5.77292e-05
1.88e-08	-2.89578e-05	5.63311e-05
1.89e-08	-2.7978e-05	5.49595e-05
1.9e-08	-2.71052e-05	5.3624e-05
1.91e-08	-2.61844e-05	5.23129e-05
1.92e-08	-2.53688e-05	5.10358e-05
1.93e-08	-2.45034e-05	4.97811e-05
1.94e-08	-2.37416e-05	4.85585e-05
1.95e-08	-2.29284e-05	4.73566e-05
1.96e-08	-2.22171e-05	4.61849e-05
1.97e-08	-2.14528e-05	4.50321e-05
1.98e-08	-2.07889e-05	4.39079e-05
1.99e-08	-2.00706e-05	4.2801e-05
2e-08	-1.94512e-05	4.17211e-05
2.01e-08	-1.87761e-05	4.0657e-05
2.02e-08	-1.81985e-05	3.96185e-05
2.03e-08	-1.75639e-05	3.85944e-05
2.04e-08	-1.70255e-05	3.75945e-05
2.05e-08	-1.64288e-05	3.66076e-05
2.06e-08	-1.59272e-05	3.56437e-05
2.07e-08	-1.53662e-05	3.46915e-05
2.08e-08	-1.48991e-05	3.37612e-05
2.09e-08	-1.43715e-05	3.28415e-05
2.1e-08	-1.39366e-05	3.19424e-05
2.11e-08	-1.34404e-05	3.10529e-05
2.12e-08	-1.30359e-05	3.0183e-05
2.13e-08	-1.2569e-05	2.93217e-05
2.14e-08	-1.21928e-05	2.8479e-05
2.15e-08	-1.17535e-05	2.7644e-05
2.16e-08	-1.1404e-05	2.68267e-05
2.17e-08	-1.09904e-05	2.60161e-05
2.18e-08	-1.06658e-05	2.52225e-05
2.19e-08	-1.02764e-05	2.44347e-05
2.2e-08	-9.97512e-06	2.36631e-05
2.21e-08	-9.60832e-06	2.28966e-05
2.22e-08	-9.32896e-06	2.21455e-05
2.23e-08	-8.98334e-06	2.13988e-05
2.24e-08	-8.72447e-06	2.06668e-05
2.25e-08	-8.3987e-06	1.99385e-05
2.26e-08	-8.159e-06	1.92243e-05
2.27e-08	-7.85181e-06	1.85132e-05
2.28e-08	-7.63006e-06	1.78156e-05
2.29e-08	-7.34027e-06	1.71205e-05
2.3e-08	-7.13533e-06	1.64382e-05
2.31e-08	-6.86183e-06	1.5758e-05
2.32e-08	-6.67262e-06	1.509e-05
2.33e-08	-6.41435e-06	1.44236e-05
2.34e-08	-6.23987e-06	1.3769e-05
2.35e-08	-5.99587e-06	1.31155e-05
2.36e-08	-5.83516e-06	1.24732e-05
2.37e-08	-5.60452e-06	1.18316e-05
2.38e-08	-5.45669e-06	1.12008e-05
2.39e-08	-5.23855e-06	1.05702e-05
2.4e-08	-5.10279e-06	9.95015e-06
2.41e-08	-4.89633e-06	9.32984e-06
2.42e-08	-4.77186e-06	8.71963e-06
2.43e-08	-4.57634e-06	8.10883e-06
2.44e-08	-4.46242e-06	7.50777e-06
2.45e-08	-4.27714e-06	6.90577e-06
2.46e-08	-4.17309e-06	6.31317e-06
2.47e-08	-3.99739e-06	5.71931e-06
2.48e-08	-3.90258e-06	5.13452e-06
2.49e-08	-3.73583e-06	4.54818e-06
2.5e-08	-3.64966e-06	3.9706e-06
2.51e-08	-3.4913e-06	3.39118e-06
2.52e-08	-3.41321e-06	2.82025e-06
2.53e-08	-3.26268e-06	2.24719e-06
2.54e-08	-3.19214e-06	1.68236e-06
2.55e-08	-3.04895e-06	1.11515e-06
2.56e-08	-2.98548e-06	5.55919e-07
2.57e-08	-2.84914e-06	-5.93318e-09
2.58e-08	-2.79228e-06	-5.60051e-07
2.59e-08	-2.66236e-06	-1.11701e-06
