Time(s)	I(VDD)	V(107)
6.16e-08	-1.19042e-07	2.99968
6.17e-08	-8.13099e-08	2.99969
6.18e-08	-1.15356e-07	2.99969
6.19e-08	-7.76888e-08	2.9997
6.2e-08	-1.11777e-07	2.99971
6.21e-08	-7.41756e-08	2.99972
6.22e-08	-1.08306e-07	2.99972
6.23e-08	-7.0772e-08	2.99973
6.24e-08	-1.04946e-07	2.99974
6.25e-08	-6.74791e-08	2.99974
6.26e-08	-1.01696e-07	2.99975
6.27e-08	-6.42971e-08	2.99976
6.28e-08	-9.85576e-08	2.99976
6.29e-08	-6.12255e-08	2.99977
6.3e-08	-9.5529e-08	2.99977
6.31e-08	-5.82635e-08	2.99978
6.32e-08	-9.26092e-08	2.99979
6.33e-08	-5.54095e-08	2.99979
6.34e-08	-8.97965e-08	2.9998
6.35e-08	-5.26616e-08	2.9998
6.36e-08	-8.70887e-08	2.99981
6.37e-08	-5.00174e-08	2.99981
6.38e-08	-8.44835e-08	2.99982
6.39e-08	-4.74743e-08	2.99982
6.4e-08	-8.19779e-08	2.99983
6.41e-08	-4.50295e-08	2.99983
6.42e-08	-7.95691e-08	2.99983
6.43e-08	-4.26799e-08	2.99984
6.44e-08	-7.72539e-08	2.99984
6.45e-08	-4.04223e-08	2.99985
6.46e-08	-7.5029e-08	2.99985
6.47e-08	-3.82533e-08	2.99985
6.48e-08	-7.28911e-08	2.99986
6.49e-08	-3.61696e-08	2.99986
6.5e-08	-7.08367e-08	2.99986
6.51e-08	-3.41677e-08	2.99987
6.52e-08	-6.88625e-08	2.99987
6.53e-08	-3.22441e-08	2.99987
6.54e-08	-6.69648e-08	2.99988
6.55e-08	-3.03955e-08	2.99988
6.56e-08	-6.51404e-08	2.99988
6.57e-08	-2.86184e-08	2.99989
6.58e-08	-6.33858e-08	2.99989
6.59e-08	-2.69094e-08	2.99989
6.6e-08	-6.16978e-08	2.99989
6.61e-08	-2.52653e-08	2.9999
6.62e-08	-6.00729e-08	2.9999
6.63e-08	-2.36829e-08	2.9999
6.64e-08	-5.85082e-08	2.9999
6.65e-08	-2.2159e-08	2.99991
6.66e-08	-5.70004e-08	2.99991
6.67e-08	-2.06905e-08	2.99991
6.68e-08	-5.55467e-08	2.99991
6.69e-08	-1.92747e-08	2.99991
6.7e-08	-5.41441e-08	2.99992
6.71e-08	-1.79085e-08	2.99992
6.72e-08	-5.27898e-08	2.99992
6.73e-08	-1.65894e-08	2.99992
6.74e-08	-5.14813e-08	2.99992
6.75e-08	-1.53146e-08	2.99993
6.76e-08	-5.02159e-08	2.99993
6.77e-08	-1.40818e-08	2.99993
6.78e-08	-4.89912e-08	2.99993
6.79e-08	-1.28884e-08	2.99993
6.8e-08	-4.78048e-08	2.99993
6.81e-08	-1.17323e-08	2.99994
6.82e-08	-4.66546e-08	2.99994
6.83e-08	-1.06113e-08	2.99994
6.84e-08	-4.55384e-08	2.99994
6.85e-08	-9.52326e-09	2.99994
6.86e-08	-4.44542e-08	2.99994
6.87e-08	-8.46627e-09	2.99994
6.88e-08	-4.34001e-08	2.99995
6.89e-08	-7.43847e-09	2.99995
6.9e-08	-4.23744e-08	2.99995
6.91e-08	-6.4381e-09	2.99995
6.92e-08	-4.13752e-08	2.99995
6.93e-08	-5.46349e-09	2.99995
6.94e-08	-4.0401e-08	2.99995
6.95e-08	-4.51308e-09	2.99995
6.96e-08	-3.94502e-08	2.99996
6.97e-08	-3.58537e-09	2.99996
6.98e-08	-3.85215e-08	2.99996
6.99e-08	-2.67898e-09	2.99996
7e-08	-3.76133e-08	2.99996
7.01e-08	-1.79257e-09	2.99996
7.02e-08	-3.67246e-08	2.99996
7.03e-08	-9.2492e-10	2.99996
7.04e-08	-3.5854e-08	2.99996
7.05e-08	-7.48537e-11	2.99996
7.06e-08	-3.50004e-08	2.99997
7.07e-08	7.58721e-10	2.99997
7.08e-08	-3.41629e-08	2.99997
7.09e-08	1.57683e-09	2.99997
7.1e-08	-3.33403e-08	2.99997
7.11e-08	2.38044e-09	2.99997
7.12e-08	-3.25317e-08	2.99997
7.13e-08	3.17045e-09	2.99997
7.14e-08	-3.17363e-08	2.99997
7.15e-08	3.94771e-09	2.99997
7.16e-08	-3.09533e-08	2.99997
7.17e-08	4.713e-09	2.99997
7.18e-08	-3.01819e-08	2.99998
7.19e-08	5.46707e-09	2.99998
7.2e-08	-2.94213e-08	2.99998
7.21e-08	6.21059e-09	2.99998
7.22e-08	-2.8671e-08	2.99998
7.23e-08	6.94423e-09	2.99998
7.24e-08	-2.79303e-08	2.99998
7.25e-08	7.66856e-09	2.99998
7.26e-08	-2.71985e-08	2.99998
7.27e-08	8.38416e-09	2.99998
7.28e-08	-2.64753e-08	2.99998
7.29e-08	9.09153e-09	2.99998
7.3e-08	-2.576e-08	2.99998
7.31e-08	9.79116e-09	2.99998
7.32e-08	-2.50523e-08	2.99999
7.33e-08	1.04835e-08	2.99999
7.34e-08	-2.43517e-08	2.99999
7.35e-08	1.11689e-08	2.99999
7.36e-08	-2.36577e-08	2.99999
7.37e-08	1.18479e-08	2.99999
7.38e-08	-2.29701e-08	2.99999
7.39e-08	1.25207e-08	2.99999
7.4e-08	-2.22884e-08	2.99999
7.41e-08	1.31877e-08	2.99999
7.42e-08	-2.16124e-08	2.99999
7.43e-08	1.38491e-08	2.99999
7.44e-08	-2.09419e-08	2.99999
7.45e-08	1.45053e-08	2.99999
7.46e-08	-2.02764e-08	2.99999
7.47e-08	1.51565e-08	2.99999
7.48e-08	-1.96158e-08	2.99999
7.49e-08	1.5803e-08	3
7.5e-08	-1.89599e-08	3
7.51e-08	1.64449e-08	3
7.52e-08	-1.83084e-08	3
7.53e-08	1.70824e-08	3
7.54e-08	-1.76612e-08	3
7.55e-08	1.77158e-08	3
7.56e-08	-1.70181e-08	3
7.57e-08	1.83451e-08	3
7.58e-08	-1.6379e-08	3
7.59e-08	1.89706e-08	3
7.6e-08	-1.57437e-08	3
7.61e-08	1.95923e-08	3
7.62e-08	-1.5112e-08	3
7.63e-08	2.02104e-08	3
7.64e-08	-1.4484e-08	3
7.65e-08	2.08249e-08	3
7.66e-08	-1.38595e-08	3
7.67e-08	2.1436e-08	3.00001
7.68e-08	-1.32384e-08	3.00001
7.69e-08	2.20437e-08	3.00001
7.7e-08	-1.26206e-08	3.00001
7.71e-08	2.26481e-08	3.00001
7.72e-08	-1.20061e-08	3.00001
7.73e-08	2.32492e-08	3.00001
7.74e-08	-1.13948e-08	3.00001
7.75e-08	2.38472e-08	3.00001
7.76e-08	-1.07867e-08	3.00001
7.77e-08	2.4442e-08	3.00001
7.78e-08	-1.01818e-08	3.00001
7.79e-08	2.50337e-08	3.00001
7.8e-08	-9.57992e-09	3.00001
7.81e-08	2.56222e-08	3.00001
7.82e-08	-8.98118e-09	3.00001
7.83e-08	2.62077e-08	3.00001
7.84e-08	-8.38552e-09	3.00001
7.85e-08	2.67901e-08	3.00001
7.86e-08	-7.79293e-09	3.00002
7.87e-08	2.73695e-08	3.00002
7.88e-08	-7.20342e-09	3.00002
7.89e-08	2.79458e-08	3.00002
7.9e-08	-6.61699e-09	3.00002
7.91e-08	2.8519e-08	3.00002
7.92e-08	-6.03364e-09	3.00002
7.93e-08	2.90891e-08	3.00002
7.94e-08	-5.45339e-09	3.00002
7.95e-08	2.96561e-08	3.00002
7.96e-08	-4.87627e-09	3.00002
7.97e-08	3.022e-08	3.00002
7.98e-08	-4.30229e-09	3.00002
7.99e-08	3.07807e-08	3.00002
8e-08	-3.73148e-09	3.00002
8.01e-08	3.13382e-08	3.00002
8.02e-08	-3.16388e-09	3.00002
8.03e-08	3.18925e-08	3.00002
8.04e-08	-2.59951e-09	3.00002
8.05e-08	3.24436e-08	3.00002
8.06e-08	-2.03841e-09	3.00003
8.07e-08	3.29914e-08	3.00003
8.08e-08	-1.48063e-09	3.00003
8.09e-08	3.35359e-08	3.00003
8.1e-08	-9.26198e-10	3.00003
8.11e-08	3.40769e-08	3.00003
8.12e-08	-3.75171e-10	3.00003
8.13e-08	3.46146e-08	3.00003
8.14e-08	1.72406e-10	3.00003
8.15e-08	3.51488e-08	3.00003
8.16e-08	7.16484e-10	3.00003
8.17e-08	3.56795e-08	3.00003
8.18e-08	1.25701e-09	3.00003
8.19e-08	3.62066e-08	3.00003
8.2e-08	1.79394e-09	3.00003
8.21e-08	3.673e-08	3.00003
8.22e-08	2.3272e-09	3.00003
8.23e-08	3.72498e-08	3.00003
8.24e-08	2.85675e-09	3.00003
8.25e-08	3.77658e-08	3.00004
8.26e-08	3.38252e-09	3.00004
8.27e-08	3.82781e-08	3.00004
8.28e-08	3.90446e-09	3.00004
8.29e-08	3.87865e-08	3.00004
8.3e-08	4.4225e-09	3.00004
8.31e-08	3.92909e-08	3.00004
8.32e-08	4.93658e-09	3.00004
8.33e-08	3.97914e-08	3.00004
8.34e-08	5.44665e-09	3.00004
8.35e-08	4.02878e-08	3.00004
8.36e-08	5.95263e-09	3.00004
8.37e-08	4.07802e-08	3.00004
8.38e-08	6.45447e-09	3.00004
8.39e-08	4.12683e-08	3.00004
8.4e-08	6.95209e-09	3.00004
8.41e-08	4.17522e-08	3.00004
8.42e-08	7.44544e-09	3.00004
8.43e-08	4.22318e-08	3.00005
8.44e-08	7.93444e-09	3.00005
8.45e-08	4.2707e-08	3.00005
8.46e-08	8.41903e-09	3.00005
8.47e-08	4.31778e-08	3.00005
8.48e-08	8.89914e-09	3.00005
8.49e-08	4.3644e-08	3.00005
8.5e-08	9.3747e-09	3.00005
8.51e-08	4.41057e-08	3.00005
8.52e-08	9.84565e-09	3.00005
8.53e-08	4.45628e-08	3.00005
8.54e-08	1.03119e-08	3.00005
8.55e-08	4.50151e-08	3.00005
8.56e-08	1.07734e-08	3.00005
8.57e-08	4.54627e-08	3.00005
8.58e-08	1.12301e-08	3.00005
8.59e-08	4.59054e-08	3.00005
8.6e-08	1.16819e-08	3.00006
8.61e-08	4.63432e-08	3.00006
8.62e-08	1.21288e-08	3.00006
8.63e-08	4.6776e-08	3.00006
8.64e-08	1.25706e-08	3.00006
8.65e-08	4.72037e-08	3.00006
8.66e-08	1.30073e-08	3.00006
8.67e-08	4.76263e-08	3.00006
8.68e-08	1.34389e-08	3.00006
8.69e-08	4.80437e-08	3.00006
8.7e-08	1.38652e-08	3.00006
8.71e-08	4.84559e-08	3.00006
8.72e-08	1.42863e-08	3.00006
8.73e-08	4.88627e-08	3.00006
8.74e-08	1.47019e-08	3.00006
8.75e-08	4.92642e-08	3.00007
8.76e-08	1.51122e-08	3.00007
8.77e-08	4.96601e-08	3.00007
8.78e-08	1.55169e-08	3.00007
8.79e-08	5.00505e-08	3.00007
8.8e-08	1.5916e-08	3.00007
8.81e-08	5.04353e-08	3.00007
8.82e-08	1.63095e-08	3.00007
8.83e-08	5.08145e-08	3.00007
8.84e-08	1.66973e-08	3.00007
8.85e-08	5.11878e-08	3.00007
8.86e-08	1.70792e-08	3.00007
8.87e-08	5.15554e-08	3.00007
8.88e-08	1.74554e-08	3.00007
8.89e-08	5.19171e-08	3.00007
8.9e-08	1.78256e-08	3.00008
8.91e-08	5.22728e-08	3.00008
8.92e-08	1.81898e-08	3.00008
8.93e-08	5.26225e-08	3.00008
8.94e-08	1.8548e-08	3.00008
8.95e-08	5.29661e-08	3.00008
8.96e-08	1.89e-08	3.00008
8.97e-08	5.33036e-08	3.00008
8.98e-08	1.92458e-08	3.00008
8.99e-08	5.36348e-08	3.00008
9e-08	1.95854e-08	3.00008
9.01e-08	5.39597e-08	3.00008
9.02e-08	1.99186e-08	3.00009
9.03e-08	5.42783e-08	3.00009
9.04e-08	2.02454e-08	3.00009
9.05e-08	5.45904e-08	3.00009
9.06e-08	2.05658e-08	3.00009
9.07e-08	5.48961e-08	3.00009
9.08e-08	2.08796e-08	3.00009
9.09e-08	5.51951e-08	3.00009
9.1e-08	2.11868e-08	3.00009
9.11e-08	5.54875e-08	3.00009
9.12e-08	2.14873e-08	3.00009
9.13e-08	5.57732e-08	3.00009
9.14e-08	2.1781e-08	3.0001
9.15e-08	5.60521e-08	3.0001
9.16e-08	2.20679e-08	3.0001
9.17e-08	5.63241e-08	3.0001
9.18e-08	2.23479e-08	3.0001
9.19e-08	5.65892e-08	3.0001
9.2e-08	2.2621e-08	3.0001
9.21e-08	5.68473e-08	3.0001
9.22e-08	2.28869e-08	3.0001
9.23e-08	5.70983e-08	3.0001
9.24e-08	2.31458e-08	3.00011
9.25e-08	5.73421e-08	3.00011
9.26e-08	2.33974e-08	3.00011
9.27e-08	5.75787e-08	3.00011
9.28e-08	2.36418e-08	3.00011
9.29e-08	5.7808e-08	3.00011
9.3e-08	2.38788e-08	3.00011
9.31e-08	5.80299e-08	3.00011
9.32e-08	2.41084e-08	3.00011
9.33e-08	5.82443e-08	3.00011
9.34e-08	2.43304e-08	3.00012
9.35e-08	5.84511e-08	3.00012
9.36e-08	2.45449e-08	3.00012
9.37e-08	5.86503e-08	3.00012
9.38e-08	2.47516e-08	3.00012
9.39e-08	5.88417e-08	3.00012
9.4e-08	2.49506e-08	3.00012
9.41e-08	5.90254e-08	3.00012
9.42e-08	2.51416e-08	3.00013
9.43e-08	5.92011e-08	3.00013
9.44e-08	2.53247e-08	3.00013
9.45e-08	5.93687e-08	3.00013
9.46e-08	2.53532e-08	3.00013
9.47e-08	5.72593e-08	3.00012
9.48e-08	1.59856e-08	3.00008
9.49e-08	3.43227e-08	2.99999
9.5e-08	-2.57916e-08	2.99985
9.51e-08	-3.04482e-08	2.99962
9.52e-08	-1.16759e-07	2.99932
9.53e-08	-1.50156e-07	2.99892
9.54e-08	-2.67155e-07	2.99842
9.55e-08	-3.32798e-07	2.99782
9.56e-08	-4.83215e-07	2.9971
9.57e-08	-5.83224e-07	2.99626
9.58e-08	-7.68688e-07	2.9953
9.59e-08	-9.04297e-07	2.9942
9.6e-08	-1.12573e-06	2.99297
9.61e-08	-1.29759e-06	2.9916
9.62e-08	-1.55543e-06	2.99009
9.63e-08	-1.76381e-06	2.98842
9.64e-08	-2.05814e-06	2.98659
9.65e-08	-2.30299e-06	2.98461
9.66e-08	-2.63366e-06	2.98245
9.67e-08	-2.9147e-06	2.98012
9.68e-08	-3.28131e-06	2.97762
9.69e-08	-3.59803e-06	2.97492
9.7e-08	-3.99997e-06	2.97204
9.71e-08	-4.35168e-06	2.96896
9.72e-08	-4.78814e-06	2.96567
9.73e-08	-5.17391e-06	2.96217
9.74e-08	-5.64386e-06	2.95844
9.75e-08	-6.06252e-06	2.95449
9.76e-08	-6.56468e-06	2.9503
9.77e-08	-7.01482e-06	2.94586
9.78e-08	-7.54761e-06	2.94117
9.79e-08	-8.02752e-06	2.93621
9.8e-08	-8.58905e-06	2.93097
9.81e-08	-9.09662e-06	2.92544
9.82e-08	-9.6846e-06	2.91962
9.83e-08	-1.02173e-05	2.91348
9.84e-08	-1.0829e-05	2.90701
9.85e-08	-1.13839e-05	2.9002
9.86e-08	-1.20159e-05	2.89303
9.87e-08	-1.25892e-05	2.88549
9.88e-08	-1.32376e-05	2.87756
9.89e-08	-1.38249e-05	2.86921
9.9e-08	-1.44847e-05	2.86044
9.91e-08	-1.50806e-05	2.8512
9.92e-08	-1.57457e-05	2.84149
9.93e-08	-1.63435e-05	2.83128
9.94e-08	-1.70066e-05	2.82053
9.95e-08	-1.7598e-05	2.80922
9.96e-08	-1.82497e-05	2.79731
9.97e-08	-1.88242e-05	2.78476
9.98e-08	-1.94529e-05	2.77154
9.99e-08	-1.99974e-05	2.7576
1e-07	-2.0588e-05	2.74289
