Time(s)	V(102)	I(VDD)
1.75	4.13547	-0.00864534
1.76	4.14407	-0.00855932
1.77	4.15258	-0.00847415
1.78	4.16102	-0.00838983
1.79	4.16936	-0.00830635
1.8	4.17763	-0.0082237
1.81	4.18581	-0.00814187
1.82	4.19391	-0.00806086
1.83	4.20193	-0.00798065
1.84	4.20988	-0.00790124
1.85	4.21774	-0.00782262
1.86	4.22552	-0.00774479
1.87	4.23323	-0.00766772
1.88	4.24086	-0.00759143
1.89	4.24841	-0.00751589
1.9	4.25589	-0.00744111
1.91	4.26329	-0.00736707
1.92	4.27062	-0.00729376
1.93	4.27788	-0.00722119
1.94	4.28507	-0.00714933
1.95	4.29218	-0.0070782
1.96	4.29922	-0.00700777
1.97	4.3062	-0.00693804
1.98	4.3131	-0.006869
1.99	4.31993	-0.00680065
2	4.3267	-0.00673299
2.01	4.3334	-0.00666599
2.02	4.34003	-0.00659966
2.03	4.3466	-0.00653399
2.04	4.3531	-0.00646898
2.05	4.35954	-0.00640461
2.06	4.36591	-0.00634088
2.07	4.37222	-0.00627779
2.08	4.37847	-0.00621533
2.09	4.38465	-0.00615348
2.1	4.39077	-0.00609225
2.11	4.39684	-0.00603163
2.12	4.40284	-0.00597162
2.13	4.40878	-0.0059122
2.14	4.41466	-0.00585337
2.15	4.42049	-0.00579513
2.16	4.42625	-0.00573746
2.17	4.43196	-0.00568038
2.18	4.43761	-0.00562385
2.19	4.44321	-0.0055679
2.2	4.44875	-0.00551249
2.21	4.45424	-0.00545764
2.22	4.45967	-0.00540334
2.23	4.46504	-0.00534957
2.24	4.47037	-0.00529634
2.25	4.47564	-0.00524364
2.26	4.48085	-0.00519147
2.27	4.48602	-0.00513981
2.28	4.49113	-0.00508867
2.29	4.4962	-0.00503804
2.3	4.50121	-0.00498791
2.31	4.50617	-0.00493828
2.32	4.51109	-0.00488914
2.33	4.51595	-0.00484049
2.34	4.52077	-0.00479233
2.35	4.52554	-0.00474464
2.36	4.53026	-0.00469743
2.37	4.53493	-0.00465069
2.38	4.53956	-0.00460442
2.39	4.54414	-0.0045586
2.4	4.54868	-0.00451324
2.41	4.55317	-0.00446833
2.42	4.55761	-0.00442387
2.43	4.56201	-0.00437985
2.44	4.56637	-0.00433627
2.45	4.57069	-0.00429313
2.46	4.57496	-0.00425041
2.47	4.57919	-0.00420812
2.48	4.58338	-0.00416624
2.49	4.58752	-0.00412479
2.5	4.59163	-0.00408375
2.51	4.59569	-0.00404311
2.52	4.59971	-0.00400288
2.53	4.60369	-0.00396305
2.54	4.60764	-0.00392362
2.55	4.61154	-0.00388458
2.56	4.61541	-0.00384592
2.57	4.61923	-0.00380766
2.58	4.62302	-0.00376977
2.59	4.62677	-0.00373226
2.6	4.63049	-0.00369512
2.61	4.63416	-0.00365836
2.62	4.6378	-0.00362195
2.63	4.64141	-0.00358591
2.64	4.64498	-0.00355023
2.65	4.64851	-0.00351491
2.66	4.65201	-0.00347993
2.67	4.65547	-0.00344531
2.68	4.6589	-0.00341103
2.69	4.66229	-0.00337709
2.7	4.66565	-0.00334348
2.71	4.66898	-0.00331021
2.72	4.67227	-0.00327728
2.73	4.67553	-0.00324467
